Waktu,Suhu (°C),Kelembapan (%),Tekanan (hPa)
2025-05-17 18:52:03,29.55,87.86,1008.2
2025-05-17 18:52:02,29.53,88.17,1008.2
2025-05-17 18:52:02,29.53,88.17,1008.2
2025-05-17 18:52:01,29.56,88.49,1008.22
2025-05-17 18:52:01,29.56,88.49,1008.22
2025-05-17 18:52:00,29.6,87.43,1008.19
2025-05-17 18:52:00,29.6,87.43,1008.19
2025-05-17 18:51:59,29.6,87.25,1008.21
2025-05-17 18:51:59,29.6,87.25,1008.21
2025-05-17 18:51:58,29.6,87.23,1008.21
2025-05-17 18:51:58,29.6,87.23,1008.21
2025-05-17 18:51:57,29.6,87.26,1008.21
2025-05-17 18:51:57,29.6,87.26,1008.21
2025-05-17 18:51:56,29.6,87.31,1008.18
2025-05-17 18:51:56,29.6,87.31,1008.18
2025-05-17 18:51:55,29.61,87.3,1008.21
2025-05-17 18:51:55,29.61,87.3,1008.21
2025-05-17 18:51:54,29.61,87.31,1008.22
2025-05-17 18:51:54,29.61,87.31,1008.22
2025-05-17 18:51:53,29.61,87.33,1008.21
2025-05-17 18:51:53,29.61,87.33,1008.21
2025-05-17 18:51:52,29.62,87.32,1008.22
2025-05-17 18:51:52,29.62,87.32,1008.22
2025-05-17 18:51:51,29.61,87.34,1008.2
2025-05-17 18:51:51,29.61,87.34,1008.2
2025-05-17 18:51:50,29.62,87.4,1008.21
2025-05-17 18:51:50,29.62,87.37,1008.21
2025-05-17 18:51:50,29.62,87.37,1008.21
2025-05-17 18:51:49,29.62,87.4,1008.21
2025-05-17 18:51:48,29.62,87.41,1008.21
2025-05-17 18:51:48,29.62,87.41,1008.21
2025-05-17 18:51:47,29.62,87.45,1008.21
2025-05-17 18:51:47,29.62,87.45,1008.21
2025-05-17 18:51:46,29.61,87.42,1008.22
2025-05-17 18:51:46,29.61,87.42,1008.22
2025-05-17 18:51:45,29.61,87.38,1008.18
2025-05-17 18:51:45,29.61,87.38,1008.18
2025-05-17 18:51:44,29.6,87.39,1008.19
2025-05-17 18:51:44,29.6,87.39,1008.19
2025-05-17 18:51:43,29.6,87.42,1008.2
2025-05-17 18:51:43,29.6,87.42,1008.2
2025-05-17 18:51:42,29.6,87.46,1008.19
2025-05-17 18:51:42,29.6,87.46,1008.19
2025-05-17 18:51:41,29.6,87.46,1008.21
2025-05-17 18:51:41,29.6,87.46,1008.21
2025-05-17 18:51:40,29.6,87.49,1008.19
2025-05-17 18:51:40,29.6,87.49,1008.19
2025-05-17 18:51:39,29.6,87.5,1008.23
2025-05-17 18:51:39,29.6,87.5,1008.23
2025-05-17 18:51:38,29.6,87.52,1008.17
2025-05-17 18:51:38,29.6,87.52,1008.17
2025-05-17 18:51:37,29.6,87.54,1008.18
